SENTENCES,veri_aggregated,ANALYSIS1,FACT_PART1,VERIFIABLE_REASON1,VERIFIABILITY1,CATEGORY1,p2_aggregated,subjectivity,objectivity,ob_aggregated,sub_aggregated
"They came by plane, boat and car to Sitka, Kodiak, Bethel, Kenai, Fairbanks, Juneau and Anchorage.",Yes,"The statement presents a description of how people traveled to various locations. The objective information is the modes of transportation (plane, boat, car) and the list of Alaskan cities mentioned. The subjective information is implicit in the framing - that these people willingly attended and that their attendance was significant. The statement implies a deliberate effort to gather input from Alaskans.","More than 320 Alaskans traveled to Sitka, Kodiak, Bethel, Kenai, Fairbanks, Juneau and Anchorage by plane, boat and car.","This fact is potentially verifiable. Attendance records for each location could be checked against the claim of 320 Alaskans. Travel records (plane manifests, boat passenger lists, car travel logs - though the latter are difficult to obtain) could, in theory, be examined to confirm the modes of transportation used. However, verifying the *exact* number of attendees at each location and the specific modes of transport for each individual would be challenging and potentially require access to private records. The statement doesn't specify *who* these 320 Alaskans are, which makes complete verification difficult. The statement is also presented as a narrative, which might be simplified or slightly embellished for rhetorical effect.",True,C1,True,"This sentence describes a specific event – how people traveled to meetings. While seemingly factual, the *manner* of travel is subjective and anecdotal. It's a narrative detail intended to evoke a feeling of widespread participation, not a verifiable fact. There's no objective way to confirm or deny *how* each individual chose to travel.","This sentence contains objective information because it asserts specific modes of transportation (plane, boat, car) and lists verifiable locations (Sitka, Kodiak, Bethel, Kenai, Fairbanks, Juneau, Anchorage) where people traveled. While the *reason* for their travel is subjective, the *fact* of their arrival at those locations via those methods is potentially verifiable.",Objective,Objective
Willie Kasayulie even snowmachined in from Akiachak.,Yes,"The statement presents a specific action taken by an individual, Willie Kasayulie. The objective information is that Willie Kasayulie traveled to a location (implied to be the same event as others who arrived by plane, boat, and car) using a snowmachine, originating from Akiachak. The subjective information lies in the implicit praise of Willie's effort as 'above and beyond'.","Willie Kasayulie traveled to a location by snowmachine, originating from Akiachak.","This fact is potentially verifiable. It describes a specific action (snowmachining) by a named individual (Willie Kasayulie) from a specific origin (Akiachak) to a destination (implied to be the same event as others who arrived by plane, boat, and car). Verification would require confirming Willie Kasayulie's presence in Akiachak and his subsequent travel to the event location via snowmachine. The lack of a specific destination makes it slightly less verifiable, but the origin is clear and verifiable. It's possible that the statement is an exaggeration or inaccurate, but the core claim of the snowmachine travel is potentially confirmable through local records, interviews, or photographs.",True,C1,True,"The sentence ""Willie Kasayulie even snowmachined in from Akiachak"" lacks objective verifiability. While it presents a factual claim (travel method and origin), it's presented as an anecdotal detail intended to evoke a feeling of dedication and effort. Verifying *how* someone traveled is difficult, and the ""even"" implies a subjective assessment of impressiveness, making it more illustrative than factual.","The sentence ""Willie Kasayulie even snowmachined in from Akiachak"" contains objective information because it asserts a verifiable action (travel by snowmachine) and a specific origin point (Akiachak) for a named individual (Willie Kasayulie). This can be checked by confirming Willie Kasayulie's existence and potentially verifying his travel from Akiachak.",Objective,Objective
"Willie and everyone else involved - especially Lt. Gov. Fran Ulmer, who headed up this massive effort – delivered above and beyond the call of duty.",Yes,"The statement contains both objective and subjective information. Objectively, it names individuals (Willie Kasayulie, Fran Ulmer) and refers to a 'massive effort.' Subjectively, the phrase 'delivered above and beyond the call of duty' is a value judgment and an opinion about the performance of these individuals and the collective effort. It's an assessment of their actions, not a description of the actions themselves.","Willie Kasayulie snowmachined in from Akiachak, and Lt. Gov. Fran Ulmer headed up a massive effort.","The fact that Willie Kasayulie snowmachined in from Akiachak is potentially verifiable. Travel records, interviews with Willie Kasayulie or people in Akiachak, or news reports could confirm or deny this. The statement that Lt. Gov. Fran Ulmer 'headed up' a 'massive effort' is also potentially verifiable. Records of her involvement, meeting minutes, organizational charts, or interviews with people involved in the effort could confirm her leadership role. However, the term 'headed up' can be interpreted differently - it could mean she was the official leader, or simply a key contributor. The term 'massive effort' is also subjective and lacks specific details, making it harder to verify its scale.",True,C1,True,"This sentence expresses subjective praise and opinion. ""Delivered above and beyond the call of duty"" is a qualitative judgment, not a verifiable fact. It's an interpretation of their actions, not an objective description. While Willie Kasayulie and Fran Ulmer *did* participate in an effort, the claim of exceeding expectations is a value judgment.","The sentence contains verifiable facts: Willie Kasayulie snowmachined in from Akiachak (location can be confirmed), and Fran Ulmer held a leadership role (""headed up"") in a specific, identifiable effort. While ""above and beyond the call of duty"" is subjective, the *existence* of Willie's travel and Fran Ulmer's leadership are demonstrable facts.",Objective,Objective
This collective wisdom will guide us as we chart a new course for Alaska.,No,"The statement blends objective and subjective information. Objectively, there was a 'massive effort' led by Lt. Gov. Fran Ulmer and involving 'hundreds of Alaskans.' Subjectively, the statement asserts that this group's 'collective wisdom' will 'guide' the speaker's future actions ('chart a new course for Alaska'). The notion of 'wisdom' and how it will 'guide' is open to interpretation and not directly measurable.","A group of people, including Lt. Gov. Fran Ulmer and hundreds of Alaskans, participated in an effort.","The fact that Lt. Gov. Fran Ulmer headed up an effort and that hundreds of Alaskans were involved is potentially verifiable. Records of Ulmer's involvement and documentation of the effort itself (reports, meeting minutes, participant lists) could be examined. The claim that these people shared 'energy and ideas' is less specific but could be supported by anecdotal evidence or documentation of their contributions. However, the assertion that this group's 'collective wisdom' will 'guide' the speaker is a subjective claim about future actions and interpretation of the group's input, making it difficult to objectively verify. It's a pledge of sorts, but lacks specifics on *how* the wisdom will guide decisions.",True,C1,True,"The sentence ""This collective wisdom will guide us as we chart a new course for Alaska"" expresses a subjective belief and future intention, not a verifiable fact. ""Collective wisdom"" is a qualitative assessment, and the claim that it *will* guide future actions is a prediction, not an established truth. It's an aspirational statement, not objective information.","While the sentence expresses a subjective claim about future guidance, it contains objective information: **a group (""this collective wisdom"") exists and previously contributed to a defined effort (headed by Lt. Gov. Ulmer).** The existence of this group and their prior work are verifiable facts, even if their future influence is a prediction.",Objective,Objective
I'd like to thank the hundreds of Alaskans who shared their energy and ideas to help us achieve a new direction.,Yes,"The statement contains both objective and subjective information. Objectively, it mentions the speaker thanking 'hundreds of Alaskans.' Subjectively, it refers to 'energy and ideas' which are intangible and open to interpretation, and 'a new direction' which is a goal rather than a concrete action. The statement also implies a collaborative effort.",The speaker thanked hundreds of Alaskans who shared their energy and ideas.,"The claim that the speaker thanked 'hundreds of Alaskans' is potentially verifiable. It would require checking public records (e.g., press releases, meeting minutes, social media posts) or contacting the speaker's office to confirm if such a public acknowledgement occurred. The 'energy and ideas' part is less verifiable as it's a qualitative description of what the Alaskans provided. However, the fact that 'hundreds of Alaskans' participated is a concrete number that can be investigated. The phrase 'to help us achieve a new direction' is a consequence, which is not directly verifiable but can be linked to the speaker's actions later.",True,C1,True,"This sentence lacks objective information because ""energy"" and ""ideas"" are subjective terms, and ""achieve a new direction"" is a vague, aspirational statement. It expresses gratitude and implies effort, but doesn't present verifiable facts about *what* energy/ideas were shared or *how* a ""new direction"" was achieved. It's a statement of appreciation, not a factual report.","The sentence contains verifiable objective information. While ""energy"" and ""ideas"" are subjective, the claim of thanking ""hundreds of Alaskans"" is potentially verifiable through records of meetings, submissions, or participation lists related to the speaker's initiative. The existence of *some* number of Alaskans contributing is a factual claim that can be investigated.",Objective,Objective
"In the coming weeks, I'll be reporting to the people of Alaska the complete results of this work.",Yes,"The statement contains both objective and subjective information. Objectively, it refers to a future action - the speaker reporting results. Subjectively, the statement implies that 'this work' has yielded 'complete results,' which is a value judgment and potentially open to interpretation. The phrase 'complete results' is also vague.",The speaker will report the results of 'this work' to the people of Alaska in the coming weeks.,"The statement asserts a future action (reporting results). Whether the speaker actually reports, and what constitutes 'complete results' are potentially verifiable. The existence of 'this work' is also implicitly claimed, and could be verified by examining the speaker's activities. However, the vagueness of 'this work' and 'complete results' makes precise verification challenging. The timeframe 'in the coming weeks' provides a window for verification. If the speaker fails to report anything within a reasonable timeframe (e.g., a few weeks), the statement would be demonstrably false. The content of the report itself would also be verifiable against the claimed 'complete results'.",True,C5,True,"The sentence ""In the coming weeks, I'll be reporting to the people of Alaska the complete results of this work"" lacks objective information because ""complete results"" is subjective and undefined. What constitutes ""complete"" is determined by the speaker, not by any external, verifiable standard. It's a promise of a report, not a statement of fact.","The sentence contains objective information because it makes a verifiable claim: the speaker intends to publicly release findings (""complete results of this work"") within a defined timeframe (""in the coming weeks""). Fact-checkers can assess whether this reporting actually occurs and if the released information aligns with the described ""complete results.""",Objective,Objective
A great feature of democracy is that it permits those of us who seek public office to enter into a dialog with the people.,Yes,The statement blends an objective claim (democracy permits dialog) with a subjective assessment ('a great feature'). The subjective element expresses a positive opinion about democracy. The objective part refers to a characteristic of democratic systems.,Democratic systems allow individuals seeking public office to engage in dialogue with the people.,"This statement refers to a generally accepted principle of democratic governance. While the *extent* to which this 'dialogue' is possible or meaningful can be debated, the core assertion that democratic systems *permit* such interaction is a characteristic often observed and described in political science literature and practical experience. It's a descriptive claim about a system's functionality, not a specific, measurable event. It's a widely accepted norm, making it verifiable through observation of democratic processes and analysis of political theory. The statement doesn't contain specific data or quantities, nor does it pledge a future action. It's a general observation about the nature of democracy.",True,C4,True,"This statement is subjective opinion, not objective fact. While dialogue is *a* feature of democracy, characterizing it as ""great"" is a value judgment. The statement expresses a positive sentiment about a democratic process, not a verifiable truth.","The statement ""A great feature of democracy is that it permits those of us who seek public office to enter into a dialog with the people"" contains objective information because it refers to a demonstrable characteristic of democratic systems – the ability for political candidates to engage in public discourse. While ""great"" is subjective, the core assertion about dialogue is a factual element of how democracies function.",Objective,Subjective
"As I traveled around this state over the past year, I spoke to thousands of Alaskans.",Yes,"The statement contains both objective and subjective information. Objectively, it claims the speaker traveled around the state and spoke to people. Subjectively, the statement implies a level of engagement and connection with the people of Alaska. The number 'thousands' is presented as a factual quantity, but its accuracy is open to interpretation.",The speaker traveled around the state and spoke to thousands of Alaskans over the past year.,"The claim of travel can potentially be verified through public schedules, travel records (if available), or corroborating accounts from those who may have accompanied the speaker. However, the term 'traveled around the state' is vague; it doesn't specify the extent or method of travel. The claim of speaking to 'thousands' of Alaskans is more difficult to verify precisely. 'Thousands' is a broad estimate, and the speaker's definition of 'speaking' (brief interaction vs. extended conversation) is not defined. It's possible to ascertain if the speaker made public appearances and estimate attendance, but obtaining a precise count is unlikely. The timeframe 'over the past year' provides a boundary for verification.",True,C1,True,"The statement ""As I traveled around this state over the past year, I spoke to thousands of Alaskans"" is subjective and unverifiable. While travel and conversations *likely* occurred, the *number* of Alaskans spoken to (""thousands"") is a vague, potentially inflated figure used for rhetorical effect and lacks objective measurement. It's a claim about the speaker's actions, not a factual assertion.","The statement ""As I traveled around this state over the past year, I spoke to thousands of Alaskans"" contains objective information because the *actions* of travel and speaking to people are verifiable. While the *content* of those conversations is subjective, the fact that travel occurred and conversations took place with a number of people (even if the exact number is potentially inflated) can be investigated through travel records, public appearances, and potentially even attendee counts.",Objective,Subjective
I asked them what they saw in Alaska's future and what they wanted to see.,Yes,"The statement 'I asked them what they saw in Alaska's future and what they wanted to see' contains both objective and subjective information. Objectively, the speaker claims to have engaged in conversations with Alaskans. Subjectively, the content of those conversations (what Alaskans saw and wanted) is not directly stated and relies on the speaker's interpretation and summarization of those conversations. The statement itself is about the speaker's actions and reported content of conversations.",The speaker engaged in conversations with thousands of Alaskans and asked them about their vision for Alaska's future and their desires for that future.,"The claim that the speaker 'spoke to thousands of Alaskans' is potentially verifiable. It would require checking the speaker's travel records, public appearances, and potentially interviewing people who attended those events or were part of those conversations. The number 'thousands' is a broad estimate, and verifying the exact number would be difficult. The content of the questions asked ('what they saw in Alaska's future and what they wanted to see') is verifiable as it is a direct quote of the speaker's actions. However, the content of the Alaskans' responses is not directly verifiable from this statement alone; it's presented as the speaker's summary of their views.",True,C1,True,"This sentence is subjective and unverifiable. It reports on the speaker's *actions* (asking questions) and *claims* about the responses, but provides no concrete data or evidence. ""What they saw"" and ""what they wanted to see"" are opinions, not objective facts. The statement cannot be independently confirmed.","The statement ""I asked them what they saw in Alaska's future and what they wanted to see"" contains objective information because it asserts the speaker engaged in a verifiable action: asking questions of people. While the *content* of those questions and the *responses* are subjective, the act of asking itself is an observable action that can be confirmed or denied through witness accounts or records (e.g., public appearances, interviews).",Objective,Objective
"Their vision was remarkably similar: an opportunity for meaningful jobs; good schools for their children; safety on their streets, bringing Alaskans together.",Yes,"The statement presents a claim about the shared vision of 'them' (presumably Alaskans) regarding Alaska's future. The objective information is the list of elements comprising this vision: meaningful jobs, good schools, safety, and unity. The subjective information lies in the assertion that this vision was 'remarkably similar.' The term 'remarkably similar' is open to interpretation and lacks a quantifiable measure of similarity.","Alaskans share a vision that includes meaningful jobs, good schools for their children, safety on their streets, and bringing Alaskans together.","The statement claims that a group of people ('them', assumed to be Alaskans) share a specific vision. While the components of the vision (jobs, schools, safety, unity) are concrete, the claim of 'remarkably similar' is subjective and lacks a defined metric for comparison. It's verifiable to the extent that one can survey Alaskans and determine if these elements are commonly expressed as desired outcomes. However, the degree of similarity ('remarkably similar') is not objectively measurable and is open to interpretation. The statement also implicitly cites the vision of 'them', which is verifiable as C1.",True,C1,True,"This sentence lacks objective information because ""remarkably similar"" is a subjective assessment. It's an interpretation of the speaker's perception of a group's visions, not a verifiable fact. We have no independent way to confirm the degree of similarity.","While subjective interpretation (""remarkably similar"") is present, the sentence lists specific, verifiable elements – ""meaningful jobs,"" ""good schools,"" ""safety on their streets"" – that represent stated desires of a group of Alaskans. These are concrete concepts that *could* be investigated through surveys or interviews to determine if they accurately reflect a shared vision, making the sentence contain fact-like information.",Objective,Objective
"The vision of Alaskans is for unity, the sharing of common goals, which I believe can best be summarized in just a few words: jobs, better schools, budget discipline, safe, healthy communities.",Yes,"The statement blends objective and subjective information. Objectively, the speaker is reporting on a perceived vision of Alaskans. Subjectively, the speaker's *belief* that this vision can be summarized in specific words ('jobs, better schools, budget discipline, safe, healthy communities') is an interpretation and a subjective claim. The statement also implies a shared understanding of what 'unity' and 'common goals' mean, which is open to interpretation.","Alaskans have a vision that includes unity and sharing of common goals, which the speaker interprets as 'jobs, better schools, budget discipline, safe, healthy communities'.","The core issue is whether the speaker's summary accurately reflects the vision of Alaskans. This is difficult to verify objectively. While it might be possible to conduct surveys or focus groups to gauge what Alaskans prioritize, the speaker's claim of a unified 'vision' is a generalization. The interpretation of 'jobs, better schools, budget discipline, safe, healthy communities' as a summary of that vision is subjective and open to debate. It's not a concrete, measurable fact. The statement is essentially reporting on a perceived sentiment, which is inherently difficult to verify with absolute certainty. It's not a pledge or prediction (C5), nor is it a citation of someone else's words (C1). It's not a statement of existing laws (C4). The quantities, statistics, and data (C2) are not mentioned.",False,C0,False,"This sentence expresses a subjective interpretation of ""the vision of Alaskans."" It's the speaker's *belief* about what Alaskans desire, framed as a summary. ""Vision"" and ""common goals"" are abstract concepts, and their articulation is inherently interpretive, not objectively verifiable. There's no independent way to prove this is *the* vision of Alaskans.","While framed rhetorically, the sentence presents a claim about a population's desires (""vision of Alaskans""). This claim, however subjective, *can* be investigated through polling data, surveys, or analysis of public statements – providing avenues to assess whether a measurable portion of Alaskans express these priorities. Therefore, it contains information potentially verifiable through external data, making it fact-like.",Objective,Objective
