SENTENCES,subjectivity,objectivity
"The vision of Alaskans is for unity, the sharing of common goals, which I believe can best be summarized in just a few words: jobs, better schools, budget discipline, safe, healthy communities.","This sentence expresses a subjective interpretation of ""the vision of Alaskans."" It's the speaker's *belief* about what Alaskans desire, framed as a summary. ""Vision"" and ""common goals"" are abstract concepts, and their articulation is inherently interpretive, not objectively verifiable. There's no independent way to prove this is *the* vision of Alaskans.","While framed rhetorically, the sentence presents a claim about a population's desires (""vision of Alaskans""). This claim, however subjective, *can* be investigated through polling data, surveys, or analysis of public statements – providing avenues to assess whether a measurable portion of Alaskans express these priorities. Therefore, it contains information potentially verifiable through external data, making it fact-like."
"The strongest type of unity is family unity, each member unique but working together, relying on the traits of responsibility, sacrifice, discipline, caring and courage.","This statement expresses a subjective value judgment about what constitutes the ""strongest type of unity."" ""Strongest"" is a qualitative assessment, not a measurable fact. While the listed traits (responsibility, sacrifice, etc.) are positive attributes often *associated* with family unity, the assertion that family unity is *the strongest* is an opinion, not an objective truth verifiable through evidence.","While framed metaphorically, the sentence contains objective information about a *stated belief*. The speaker is asserting a specific viewpoint – that ""family unity"" represents the ""strongest type of unity."" This assertion, while subjective in its value judgment, is a verifiable statement about the speaker's expressed opinion, making it fact-like."
"In that vein, it has become a tradition in these speeches to recognize a single person in the audience for their special contribution.","The statement ""In that vein, it has become a tradition in these speeches to recognize a single person in the audience for their special contribution"" is subjective and unverifiable. ""Tradition"" is a socially constructed concept; there's no objective way to prove a custom exists simply by asserting it. It's a rhetorical device, not a factual claim.","The statement ""In that vein, it has become a tradition in these speeches to recognize a single person in the audience for their special contribution"" contains objective information because the existence of a tradition is a verifiable phenomenon. Fact-checkers could investigate past speeches to determine if this practice has indeed occurred repeatedly, establishing the existence of the claimed tradition."
"There's a young Alaskan I'd like to recognize tonight, who has an ample supply of each these special traits.","This sentence is purely rhetorical. It introduces a personal anecdote for emotional effect and doesn't convey any verifiable facts. The phrase ""ample supply of each these special traits"" is subjective and undefined, lacking objective meaning. It's a setup for a story, not a statement of fact.","While the sentence is framed as a recognition and contains subjective elements (""special traits,"" ""ample supply""), the core assertion – ""There's a young Alaskan I'd like to recognize tonight"" – is potentially verifiable. It states the speaker intends to highlight a specific individual present. Fact-checkers could confirm if a young Alaskan was, in fact, recognized during the speech."
"Five days before Christmas in the village of Gambell, 8-year-old Larry Shoogukwruk was filling a lantern with fuel when his baby brother knocked over a candle.","This sentence presents a narrative intended to evoke emotion, not convey verifiable facts. While it *claims* to recount an event, it lacks crucial elements for objective verification: source attribution, independent corroboration, and specific details allowing for confirmation (e.g., dates, official records). It functions as an anecdote designed to illustrate a point, not a factual statement.","This sentence contains objective information because it presents specific, verifiable details: a child's name (Larry Shoogukwruk), an age (8), a location (Gambell), and a sequence of actions (filling a lantern with fuel, a candle being knocked over). These details *could* be confirmed through independent sources like news reports or public records, establishing them as potentially factual claims."
"The flames engulfed not only Larry, but their home, trapping his 2-year-old brother.","This sentence, while seemingly descriptive, relies on subjective interpretation of ""engulfed"" and ""trapping."" ""Engulfed"" is a qualitative term lacking a measurable definition; what constitutes ""engulfed"" is open to interpretation. Similarly, ""trapping"" implies a degree of confinement that isn't objectively quantifiable. Therefore, the sentence presents a narrative impression rather than verifiable fact.","This sentence contains objective information because it describes a specific event – flames engulfing a person and a home, and trapping another individual – which can be verified through investigation (e.g., interviews, fire reports, medical records). While the *emotional impact* of the event is subjective, the core actions described are factual claims about what occurred."
"Despite second and third–degree burns on his face, neck and chest, Larry doused the flames to rescue his brother and guide the toddler and their sister through a 60- below windchill to safety.","This sentence presents a narrative framed as a heroic act, relying on emotionally charged language (""engulfed,"" ""doused,"" ""safety"") and lacks verifiable details. While it *claims* specific injuries and actions, it's presented as a story intended to evoke feeling rather than a statement of confirmed facts. There's no source or mechanism for independent verification of the described events and their precise details.","This sentence contains fact-like information because it describes specific, verifiable details: the severity of Larry's burns (second and third-degree), the actions he took (dousing flames, rescuing his brother, guiding siblings), and a quantifiable environmental condition (60-below windchill). While the narrative framing is subjective, the described events and their measurable aspects *could* be investigated and confirmed or refuted through evidence."
"I'd like to have Larry stand before you tonight, but he can't.","The sentence ""I'd like to have Larry stand before you tonight, but he can't"" expresses a desire and a statement of inability. It's a subjective expression of the speaker's wish and a consequence (Larry's inability to stand) presented as a matter of fact, but the *desire* itself is not objectively verifiable. It's a rhetorical device, not a factual claim.","While the sentence expresses a desire (""I'd like to have Larry stand""), the statement that ""he can't"" implies a verifiable condition preventing his appearance. The speaker's subsequent explanation of Larry's injuries and hospitalization in Providence Hospital provides context suggesting this inability is based on objective, physical circumstances, making ""he can't"" potentially fact-checkable."
"He's in Providence Hospital, where I visited him Saturday, with burns over 21 percent of his body and frostbitten feet.","This sentence blends verifiable details with subjective interpretation, making it lack purely objective information. While the *location* (Providence Hospital) and the *day of the visit* (Saturday) *could* be verified, the claim of ""burns over 21 percent of his body"" and ""frostbitten feet"" are medical assessments. These are subjective evaluations requiring independent medical confirmation and are presented as a statement of fact without providing source documentation. The speaker's presence at the hospital also introduces a potential bias.","This sentence contains verifiable facts. The location (""Providence Hospital""), the day of the visit (""Saturday""), and the specific medical conditions (""burns over 21 percent of his body"" and ""frostbitten feet"") are all claims that *could* be independently confirmed through hospital records, witness testimony (the speaker and potentially hospital staff), and potentially medical documentation. While the speaker's presence is a claim, the medical details themselves are presented as objective observations."
"Alaskans have responded to Larry with characteristic generosity, so surrounded by toys and video games and doing well, he and his mother Fran are watching us now.Larry is a true Alaskan hero.","This sentence lacks objective information because it relies heavily on subjective interpretation. ""Characteristic generosity"" and ""true Alaskan hero"" are value judgments, not verifiable facts. While the details about Larry's condition and activities *could* be factual, the sentence blends them with opinion, making it impossible to isolate objective claims.","While the ""true Alaskan hero"" portion is subjective opinion, the sentence contains verifiable facts: Larry is in Providence Hospital, has burns covering 21% of his body, has frostbitten feet, and is receiving toys/video games. These details *could* be confirmed through hospital records or reports from those involved in his care."
"He showed a courageous combination of personal responsibility, sacrifice and caring.","This sentence is purely subjective interpretation. ""Courageous combination"" is a value judgment, not an observable fact. What constitutes ""courageous"" is open to individual perspective and not objectively verifiable. The sentence praises Larry's actions but doesn't present factual information about those actions themselves.","While subjective interpretation of ""courageous"" exists, the sentence asserts observable actions (""personal responsibility,"" ""sacrifice,"" and ""caring"") that *could* be verified through investigation of Larry's actions and corroborated by Fran (his mother) or others familiar with the situation. Therefore, it contains elements of potentially objective information."
He deserves our recognition here tonight.,"The statement ""He deserves our recognition here tonight"" is purely subjective opinion. ""Deserves"" implies a value judgment, not a verifiable fact. Recognition is a social act, and whether someone *should* receive it is a matter of belief, not objective truth.","While subjective in tone, the statement ""He deserves our recognition here tonight"" contains objective information: **it reports an action (recognition) that will demonstrably occur (tonight).** Fact-checkers can verify whether or not this recognition actually happens."
"As we address the challenges facing Alaska's Family, we should all remember Larry Shoogukwruk and his response to his own family.","This sentence lacks objective information because it's a call to remember a specific individual (""Larry Shoogukwruk"") and his actions, framed as an emotional appeal. There's no verifiable fact presented; the ""response"" is subjective and its significance is asserted, not demonstrated. It's designed to evoke feeling, not convey factual data.","The sentence contains objective information because it refers to a specific individual, Larry Shoogukwruk, and asserts a verifiable action: his response to his own family. While the *nature* of that response is subjective, the fact that a person named Larry Shoogukwruk exists and took some action related to his family is potentially verifiable through records or accounts."
"This administration has a fundamental purpose - to unify Alaska's Family, relying on the traits of responsibility, sacrifice, discipline, caring and courage.","This statement expresses the *stated* purpose of an administration, not a verifiable fact. It's a declaration of intent and a value judgment, not an objective observation about actions or outcomes. The listed traits are subjective qualities, not measurable data.","While the statement uses evocative language (""Alaska's Family,"" ""fundamental purpose""), it *does* contain objective information: **it asserts a stated purpose of the administration.** We can fact-check whether the administration *claims* this as its purpose, regardless of whether that purpose is achieved or universally accepted. The statement itself is a declaration, and declarations are verifiable."
"As we take stock of Alaska today and face our share of challenges, there’s great reason for optimism about our future.","This sentence expresses a subjective feeling (""great reason for optimism"") and relies on an undefined ""future."" It's an opinion about the state of Alaska, not a verifiable fact. The phrase ""face our share of challenges"" is also vague and doesn't specify what those challenges are, further solidifying its lack of objective content.","While containing subjective elements (""great reason for optimism""), the sentence acknowledges ""challenges"" facing Alaska. The existence of challenges is an observable, verifiable reality – a fact-like element grounding the statement, even if the optimism is a subjective interpretation."
"Tonight, I will discuss some of those reasons: this administration's plan for jobs, welfare reform, safe communities and good schools - all - as we live within our means.","This sentence is purely a statement of intent and a summary of topics to be addressed. It doesn't present any verifiable facts; it simply announces what the speaker *will* discuss. The phrases ""great reason for optimism"" and ""live within our means"" are subjective and lack objective measurement.","The sentence contains objective information because it states a *plan* exists (""this administration's plan for jobs, welfare reform, safe communities and good schools""). The existence of a plan, however vaguely defined, is a verifiable fact, even if the specifics of the plan are subjective. It's a statement about an action taken by the administration."
"First, is our four–point plan to create meaningful and well–paying jobs for Alaskans: Number one, marketing Alaska; second, opening up Alaska; third, capitalizing on a new relationship with Washington, D. C. and fourth, welfare reform.","This sentence lacks objective information because it presents a *plan* – a subjective proposal – rather than verifiable facts. The terms ""meaningful,"" ""well-paying,"" ""marketing Alaska,"" ""opening up Alaska,"" and ""capitalizing on a new relationship"" are all vague and open to interpretation; their success or even definition is not objectively measurable. It's a statement of intent, not a factual assertion.","The sentence presents a verifiable list of four specific policy proposals (""marketing Alaska,"" ""opening up Alaska,"" etc.). While the *effectiveness* of these proposals is subjective, the *existence* of this four-point plan, and the specific items within it, can be confirmed through documentation or public records related to the administration's stated policies. Therefore, the sentence contains factual claims about the plan's content."
"Less than a week ago, I returned home after three days of ground-breaking meetings between an Alaska governor and the top corporate officials of some of Alaska's largest employers - ARCO, Exxon USA and Unocal.","This sentence lacks objective, verifiable information. While it states a sequence of events (""I returned home...""), the claim of ""ground-breaking meetings"" is subjective and interpretative. ""Ground-breaking"" implies significance and novelty, which is an opinion about the meetings, not a factual detail that can be independently confirmed. It's a framing device used to emphasize the speaker's actions, not a statement of objective reality.","This sentence contains objective information because it makes claims about specific events that can be verified: the timing (""less than a week ago""), duration (""three days""), participants (""Alaska governor,"" identifiable corporate officials from ARCO, Exxon USA, and Unocal), and the fact of a meeting. While ""ground-breaking"" is subjective, the existence of the meetings themselves is a factual claim that can be investigated through records, schedules, and participant accounts."
"I had three purposes: find out the facts about Alaska's oil industry, tell the industry that we are ready and open for business and remind the industry that we want development here on Alaska's terms.Here's what I found out.","This sentence is purely a statement of intent and a promise of forthcoming information. It describes *what the speaker aimed to do* and signals a report is coming, but it doesn't present any verifiable facts itself. The phrases ""find out the facts,"" ""tell the industry,"" and ""remind the industry"" are actions, not factual claims. It's a rhetorical device to set up the following statements.","While containing persuasive elements, the sentence ""I had three purposes: find out the facts about Alaska's oil industry, tell the industry that we are ready and open for business and remind the industry that we want development here on Alaska's terms.Here's what I found out."" contains objective information because it **states the speaker's intentions and announces the presentation of findings.** The *existence* of those intentions and the *announcement* of forthcoming information are verifiable facts, regardless of the accuracy of the ""facts"" that follow."
"There is still plenty of oil and gas to be developed in Alaska, most likely in small- to medium-sized fields and in increased recovery at existing fields, but whose combined output may well equal Prudhoe Bay's original estimate of 9 billion barrels.","This statement lacks objective factuality because it presents a *prediction* (""may well equal"") regarding future oil production. Estimating future output is inherently speculative and depends on numerous variables (market conditions, technological advancements, regulatory changes) that are not controlled or guaranteed. While it references a past estimate (9 billion barrels), the core claim about future combined output is a projection, not a verifiable fact.","This sentence contains objective information because it makes a quantifiable claim – the potential combined output of Alaskan oil fields equaling 9 billion barrels – which can be investigated through geological surveys, reserve estimates, and production data. While the ""plenty"" and ""most likely"" aspects are subjective, the core claim of a specific barrel estimate is a factual assertion open to verification."
"Two, the natural gas on the North Slope should be considered almost another Prudhoe Bay in terms of energy potential and wealth for the people of this state.","This sentence is subjective and lacks objective information because it uses comparative, qualitative language (""almost another Prudhoe Bay"") to describe potential energy and wealth. ""Almost"" is imprecise and ""wealth for the people"" is a value judgment, not a verifiable fact. The statement expresses an opinion about potential, not a confirmed quantity or economic outcome.","The sentence contains potentially fact-checkable information because it makes a quantifiable comparison (""almost another Prudhoe Bay"") regarding the energy potential and wealth generation of natural gas on the North Slope. ""Prudhoe Bay"" represents a known, documented quantity of energy potential and wealth, allowing for investigation into whether the North Slope gas reserves genuinely possess a comparable potential."
"To develop these rich reserves, Alaska must have a positive business environment.","The statement ""To develop these rich reserves, Alaska must have a positive business environment"" is subjective and lacks objective information. ""Positive business environment"" is a value judgment; what constitutes ""positive"" is open to interpretation and depends on specific priorities (e.g., job creation, environmental protection, tax revenue). It's an opinion about what conditions are *desirable*, not a verifiable fact.","The statement ""To develop these rich reserves, Alaska must have a positive business environment"" contains objective information because it posits a causal relationship (development requires a positive environment) that can be empirically tested. While ""positive business environment"" is subjective, the *impact* of business conditions on resource development – whether reserves are extracted, investment occurs, etc. – is observable and measurable, making the claim potentially verifiable."
"We need laws and regulations that provide incentives and which are clear, predictable and consistent.","This sentence expresses a *desire* or *goal* (""We need...""), not a verifiable fact. What constitutes ""incentives,"" ""clear,"" ""predictable,"" or ""consistent"" is subjective and open to interpretation, varying based on perspective and political agenda. It's a statement of policy preference, not objective information.","The sentence contains objective information because the existence of laws and regulations is a verifiable fact. While the *desirability* of them being ""clear, predictable, and consistent"" is subjective, the statement that such qualities are *needed* implies their current absence, which is an observable condition that can be assessed. Therefore, the sentence points to a factual situation regarding the current legal environment."
"In turn, the oil industry must commit to hire Alaskans, use Alaska businesses, protect the environment and share the profits with Alaskans.","This sentence expresses a *demand* or *expectation* (""must commit"") rather than stating a verifiable fact. It outlines desired actions, not existing conditions. Whether the oil industry *will* or *does* commit to these actions is a future event, not a present truth. It's a statement of policy preference, not objective information.","While framed as a demand (""must commit""), the sentence outlines specific, potentially verifiable actions: hiring Alaskans, using Alaska businesses, environmental protection, and profit-sharing. These are actions that *could* be tracked and assessed, making them fact-like statements, even if the commitment itself is aspirational."
We each agreed to do our part to bring about a new era of partnership.,"The sentence ""We each agreed to do our part to bring about a new era of partnership"" is subjective and lacks objective information. It expresses an agreement and intent (""we agreed,"" ""bring about"") without specifying *who* ""we"" are, the details of the agreement, or how this ""partnership"" will manifest. It's a statement of aspiration, not a verifiable fact.","While the sentence is framed rhetorically, it contains objective information: **it asserts a prior agreement between unspecified parties.** The existence of *any* agreement, however vague, is a verifiable fact. Fact-checkers could investigate whether such an agreement exists and what its terms are."
I am calling for a tax and regulatory conference on how Alaska can best position itself for future development.,"This sentence expresses an *intention* (""I am calling for..."") and a subjective assessment (""best position""). Calling for a conference is an action, not a verifiable fact. ""Best position"" is a value judgment open to interpretation and lacks objective measurement. Therefore, it contains no objective information.","The sentence contains objective information because it states a specific action – the speaker ""calling for"" a conference. This is a verifiable action; we can determine if the speaker actually announced such a conference. The subject matter of the conference (tax and regulatory considerations for Alaska's development) is also a topic that can be examined for factual basis, even if the ""best"" positioning is subjective."
I urge the Alaska Legislature to work with me to form an oil and gas policy council so that Alaskans can maintain this new cooperative relationship.,"This sentence expresses a *request* and a *desired outcome* (""maintain this new cooperative relationship""). It's a statement of intent and a subjective value judgment about what constitutes a ""cooperative relationship."" There's no verifiable fact presented; whether the legislature *will* work with the speaker or whether a council will foster cooperation is speculative.","The sentence contains objective information because it reports an action – the speaker's urging of the Alaska Legislature to form a council. Whether the Legislature *will* act is separate from the fact that the speaker made this request. The names of Senator Pearce and Representative Navarre, mentioned in the preceding sentence, further ground the statement in verifiable reality."
I have asked Senator Drue Pearce and Representative Mike Navarre to serve on this council.,"This statement is an action statement, reporting a specific action (""I have asked...""). While the asking *happened*, the statement itself doesn't convey objective, verifiable information. Whether someone accepts the request, or the council's subsequent actions, are future events not reflected in the statement's truth value. It's a declaration of intent, not a fact about the world.","The statement ""I have asked Senator Drue Pearce and Representative Mike Navarre to serve on this council"" contains objective information because it asserts a specific action (a request) made by the speaker regarding identifiable individuals (Senator Pearce and Representative Navarre) and a defined entity (the council). This action is potentially verifiable through public records or confirmation from the individuals themselves."
"This approach to dealing with Alaska's oil industry is part of a new initiative we call ""Marketing Alaska.","The sentence ""This approach to dealing with Alaska's oil industry is part of a new initiative we call ""Marketing Alaska"""" is subjective because it's a definitional statement – it *names* an approach and initiative. It doesn't present a verifiable fact about the approach itself, its effectiveness, or its impact. It's simply a declaration of what something *is called*.","The sentence contains objective information because it states a specific action (requesting Pearce and Navarre to serve) and links it to a named initiative (""Marketing Alaska""). These are verifiable facts: we can check if the individuals were actually asked to serve and if the initiative exists under that name. While the *reasoning* behind the initiative is subjective, the initiative's existence and name are presented as factual elements."
It is based on the belief that Alaska's economy should be as diversified as the blessings we have in this state.,"This sentence expresses a *belief*, not a verifiable fact. ""Should be"" indicates an opinion about a desired state, and linking economic diversification to ""blessings"" introduces a subjective, value-laden comparison lacking objective measurement. It's a statement of aspiration, not a factual claim.","While containing a subjective element (""blessings""), the sentence asserts a concrete, verifiable claim: the initiative ""Marketing Alaska"" has a stated foundation or rationale. Fact-checkers could investigate whether this stated rationale accurately reflects the initiative's design and stated goals – a question of descriptive accuracy, not pure opinion."
